Emp_Type,Job_Title,Company,Date_Posted,Salary_Type,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary
"Permanent, Full Time",Full Stack Developer,CHINSAY PTE. LTD.,Posted 23 Mar 2020,Monthly,3 years  exp,Professional,Information Technology,"Several  years development in C# and .NET, or another language and set of core libraries, packages, and tools that you can convince us translates to short-term productivityStrong JavaScript skills â bonus for experience with TypeScriptDeep familiarity with one or more front-end JavaScript frameworks, e.g. Knockout, React, AngularJS, or Vue.jsAppreciation for and ability to produce clean, effective, well-designed, and well-tested codeThe ability to work effectively from the definition of a problem, and to come up with clean, timely, supportable, and occasionally breathtakingly elegant solutions to problems, Deep database experience, with either SQL or NoSQL databasesTDD experienceExpertise in writing unit testsA strong data security backgroundA keen design sense and the HTML and CSS skills to back it upExpertise working with search engines, e.g. Azure Search, Elastic Search or SolrA strong background in AzureExperience with Azure DevOpsGit masteryYou can give (and take) a good code reviewExperience with Business Intelligence, data visualization, data warehouses, data mining, Snowflake, HadoopExperience with containerization technologies, e.g. Docker, Vagrant, KubernetesExperience with blockchain and distributed ledger technology, A sense of humour, love for programming, and ability to communicate and work effectively with team members throughout the organisation",6000.0,10000.0,8000.0
Contract,Business Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 23 Mar 2020,Monthly,5 years  exp,Executive,Information Technology,,6500.0,7500.0,7000.0
Contract,Event Project Manager,SCIENTE INTERNATIONAL PTE. LTD.,Posted 23 Mar 2020,Monthly,4 years  exp,Manager,Banking and Finance,"Degree in business, marketing, communications, or relevant field of study;4+ years in event planning/marketing and logistics (design to execution) from small to large scale events;Ability to drive success in event management and project management;Ability to travel and work independently and autonomously;AWS Cloud basic knowledge., Understand latest trend on artificial intelligence and machine learning., End to end event planing and execution, from developing agenda to event management specifics such as venue selection, catering, event promotion, staffing, registration, budgeting, onsite event management and post event follow up;Align & Calibrate events based on success factors and events goals with various type of events, campaigns or roadshows;Work closely with internal and external stakeholders including internal cloud communications team for the project;Develop and execute gamified approach to new and existing game players regionally;Report & track project and playerâs progress;Advocate relevant and continuous learnings for both new and existing players to keep up with the game.",6500.0,8500.0,7500.0
"Contract, Permanent, Full Time","Python Developer, Data Engineering, VP","JPMORGAN CHASE BANK, N.A.",Posted 23 Mar 2020,Monthly,10 years  exp,Senior Executive,Banking and Finance,,7500.0,15000.0,11250.0
Permanent,"Partner Account Manager, Data Center",CISCO SYSTEMS (USA) PTE. LTD.,Posted 23 Mar 2020,Monthly,5 years  exp,Professional,Sales / Retail,"Growing the partners Cisco DC business by developing joint business plans, strategies and evangelising Ciscoâs Datacenter vision with relevant partners. Ensure our Partners understand Ciscos DC value proposition and initiatives by articulating Architectural and Business relevant messages to each individual Partner.Facilitate sales enablement activities for Partners to mature their practise capability through various enablement techniques â creativeness is encouraged.Development and measurement of a Partner Scorecard to actively report partners DC goals, Cisco enablement activities to support these goals as well as partner DC bookings.Regular reviews to monitor any Datacenter practice/vertical/capability development for new technologies or markets. Maintain partner profiles that clearly articulates partners landscape - Drive joint business planning and associated activities both from Cisco and Partners.Support partner led sales efforts to close opportunities.Provide feedback to partner on revenue achievements and performance and put in place appropriate actions to provide incentive or address partner performance., Understanding of the Cisco partner landscape (1T, 2T and Distribution), technology proficiencies, areas of specialization and customer segmentation in ASEAN in order to identify the right set of strategic partners to go to market with Ciscos new technologies.A business background that enables engagement with Business Decision Makers along with a sales background that will enable collaboration within Cisco and our Partner communityStrategic thinker, ability to look across business, product, and technical challenges, building and conveying compelling value propositions for PartnersFlexible to work within a geographically distributed and matrix environment. Hardworking, positive, and creative attitude and can work in a dynamic, fast paced and changing environment.An autonomous thought process and can drive business results.Strong communication and listening skillsAn understanding of how to frame client business and technical imperatives and encourage confidence with a variety of internal and external constituents.The ability to develop and clearly articulate objectives using both analytical thinking, reference to facts and best practices",10416.0,19316.0,14866.0
"Contract, Permanent, Full Time",DevOps Engineerâ Data Engineering - VP,"JPMORGAN CHASE BANK, N.A.",Posted 23 Mar 2020,Monthly,10 years  exp,Senior Executive,Banking and Finance,,7500.0,15000.0,11250.0
"Contract, Permanent, Full Time","Java Developer - Data Engineering, Associate","JPMORGAN CHASE BANK, N.A.",Posted 23 Mar 2020,Monthly,6 years  exp,Executive,Banking and Finance,,7000.0,14000.0,10500.0
"Contract, Permanent, Full Time",Python Developer â Data Engineering â Associate,"JPMORGAN CHASE BANK, N.A.",Posted 23 Mar 2020,Monthly,6 years  exp,Executive,Banking and Finance,,7000.0,14000.0,10500.0
"Permanent, Full Time","AVP, Blockchain Operations Lead, Treasury & Market Operations, Technology & Operations (WD13146)",DBS BANK LTD.,Posted 23 Mar 2020,Monthly,7 years  exp,Senior Management,Banking and Finance,"Good understanding of T&M operating landscape and market ecosystem.Strong process knowledge on Fixed Income, FX and Structured Products, including trade settlements, market conventions, accounting and associated risks.Familiar with end-to-end Treasury workflows, systems and applications of Blockchain technology.Act as a Blockchain champion for T&M Operations across product and utility teams.Identify and develop Blockchain use cases, conduct business case analysis, and present proposal to stakeholders.Partner with product SMEs and Tech partners to co-create design-for-scale solutions.Work with project team to prioritise requirements within the Blockchain programme.Drive continuous improvement and innovation with focus on end-to-end workflow digitization and applying the principles of Design for Data, Design for Digital and Design for No Ops.Manage risks and controls alongside process automation with Blockchain applications., Bachelorâs degree with min. 7 years of banking experience, deep understanding of the financial industry with strong domain knowledge in T&M products and its related end-to-end workflows.Experience in various operation functions including static data maintenance, processing, reconciliation, settlements etc.Good in data analysis and chartingVBA Programming, SharePoint, Tableau, and Data Analytics skills are an added advantageAble to work in a fast-paced and results-oriented culture.Strong team player and a proactive individual contributor.Excellent interpersonal, presentation and communication skills.High energy, hands-on, able to work independently and meet tight deadlines.High degree of self-initiative, proactive and self-driven to drive results.Creative thinker with the ability to troubleshoot issues quickly and effectively.Able to think outside the box, innovate and differentiate.Well-organized and analytical with the ability to work well under pressure.Proficiency in MS Word, MS Access, MS Excel, MS PowerPoint with O365",6500.0,11700.0,9100.0
"Permanent, Full Time","Senior Associate, Blockchain Operations Lead, Treasury & Market Operations, Technology & Operations (WD13146)",DBS BANK LTD.,Posted 23 Mar 2020,Monthly,7 years  exp,Senior Executive,Banking and Finance,"Good understanding of T&M operating landscape and market ecosystem.Strong process knowledge on Fixed Income, FX and Structured Products, including trade settlements, market conventions, accounting and associated risks.Familiar with end-to-end Treasury workflows, systems and applications of Blockchain technology.Act as a Blockchain champion for T&M Operations across product and utility teams.Identify and develop Blockchain use cases, conduct business case analysis, and present proposal to stakeholders.Partner with product SMEs and Tech partners to co-create design-for-scale solutions.Work with project team to prioritise requirements within the Blockchain programme.Drive continuous improvement and innovation with focus on end-to-end workflow digitization and applying the principles of Design for Data, Design for Digital and Design for No Ops.Manage risks and controls alongside process automation with Blockchain applications., Bachelorâs degree with min. 7 years of banking experience, deep understanding of the financial industry with strong domain knowledge in T&M products and its related end-to-end workflows.Experience in various operation functions including static data maintenance, processing, reconciliation, settlements etc.Good in data analysis and chartingVBA Programming, SharePoint, Tableau, and Data Analytics skills are an added advantageAble to work in a fast-paced and results-oriented culture.Strong team player and a proactive individual contributor.Excellent interpersonal, presentation and communication skills.High energy, hands-on, able to work independently and meet tight deadlines.High degree of self-initiative, proactive and self-driven to drive results.Creative thinker with the ability to troubleshoot issues quickly and effectively.Able to think outside the box, innovate and differentiate.Well-organized and analytical with the ability to work well under pressure.Proficiency in MS Word, MS Access, MS Excel, MS PowerPoint with O365",5000.0,9000.0,7000.0
Full Time,Research Fellow (Computer Science / Computer Engineering / Electrical Engineering),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 23 Mar 2020,Monthly,1 year  exp,Professional,Sciences / Laboratory / R&D,"Conduct research and development on state of the art all weather perception systemsDevelopment of autonomy stack of outdoor mobile robot systems and conduct experimentsPrepare research papers, technical reports and presentations to report the research outcomes to both Continental and public stakeholdersLiaise with Engineers from NTU-Continental Corporate Lab, Ph.D in Computer Science/Computer Engineering/Electrical Engineering with a strong focus on Computer Vision and Robot PerceptionDemonstrated independent research skills in Computer Vision and Robot PerceptionExperience in OpenCV and Machine Learning frameworks such as TensorFlow or PyTorchExcellent programming skills in Python or C/C++Excellent written and verbal communication skills",4000.0,6000.0,5000.0
Full Time,Senior Software Engineer (Machine Learning),CASHSHIELD PTE. LTD.,Posted 22 Mar 2020,Monthly,5 years  exp,Senior Executive,Information Technology,"Ability to design and develop machine learning algorithmsDiscover, design and develop analytical methods to support novel approaches of data and information processingIdentify and apply appropriate methods to process and analyze large data-sets of labelled and unlabelled records, and discover new valuable insights for the systemProvide support on other part of the system (not limited to Machine Learning)Review and contribute to improve current software and system architecture for stability and to optimize performanceResearch & development of fraud detection solution, Minimum Bachelor Degree in Computer Science, Information System with Machine Learning specialization or equivalentStrong foundation in database and data scalingExperience with various Machine Learning algorithms and ability to apply in real life casesExperience in MySQL, NoSQL and Columnar databaseExperience in C++, C, Python and other programming languages will be an advantagePrior experience in e-payments or e-commerce industry is a plusStrong analytical, interpersonal, communication and presentation skills",6000.0,12000.0,9000.0
Full Time,Software Engineer (Machine Learning),CASHSHIELD PTE. LTD.,Posted 22 Mar 2020,Monthly,3 years  exp,Executive,Information Technology,"Ability to design and develop machine learning algorithmsDiscover, design and develop analytical methods to support novel approaches of data and information processingIdentify and apply appropriate methods to process and analyze large data-sets of labelled and unlabelled records, and discover new valuable insights for the systemProvide support on other part of the system (not limited to Machine Learning)Review and contribute to improve current software and system architecture for stability and to optimize performanceResearch & development of fraud detection solution, Minimum Bachelor Degree in Computer Science, Information System with Machine Learning specialization or equivalentStrong foundation in database and data scalingExperience with various Machine Learning algorithms and ability to apply in real life casesExperience in MySQL, NoSQL and Columnar databaseExperience in C++, C, Python and other programming languages will be an advantagePrior experience in e-payments or e-commerce industry is a plusStrong analytical, interpersonal, communication and presentation skills",4000.0,8000.0,6000.0
Full Time,Senior Data Scientist,ENVISION DIGITAL INTERNATIONAL PTE. LTD.,Posted 22 Mar 2020,Monthly,8 years  exp,Professional,Engineering,,5000.0,11000.0,8000.0
Full Time,R&D Engineer - Job Code: JYK,CAPITA PTE. LTD.,Posted 22 Mar 2020,Monthly,2 years  exp,Professional,Information Technology,"Develop prototypes and real-world applications related to Computer      VisionImprove the performance of existing CV models with various state-of-the-art algorithmsDevelop algorithms, data models and build products and solutions based on state-of-the-art AI technology., PhD, MSc or BSc in computer science, engineering or related technical      disciplines, or equivalent.At least 2 years of experience in Computer Vision, Machine Learning and Deep LearningDevelop prototypes and real-world applications related to Computer VisionImprove  the performance of existing CV models with various state-of-the-art      algorithmsDevelop algorithms, data models and build products and solutions based on      state-of-the-art AI technology.Create innovative, marketable products using research in fields of Object      detection, Image Segmentation, Image Classification etc.Demonstrated experience in Image Classification, Image Segmentation and Object  Detection.Hands-on experience of deep learning technologies and familiar with      state-of-the-art deep learning toolkits (e.g., TensorFlow, PyTorch, Keras,      etc).Experience in Hybrid Mobile App Development (iOS/Android Devices) would be a big      advantageExperience  in programming languages (Java, C++, Python, etc).",5000.0,8000.0,6500.0
"Permanent, Full Time","VP, Big Data Engineer, Group Consumer Banking and Big Data Analytics Technology, Technology & Operations (WD12947)",DBS BANK LTD.,Posted 20 Mar 2020,Monthly,10 years  exp,Senior Management,Information Technology,"Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.Analyze source data and data flows, working with structured and unstructured data.Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trendsAnalyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely.Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems.Discover data sources, get access to them, import them, clean them up, and make them âmodel-readyâ. You need to be willing and able to do your own ETL.Create and refine features from the underlying data. Youâll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then youâll lather, rinse and repeat.Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders., Experience in big data and machine learningThe ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles.Strong experience in managing a mid and large scale team (offshore and onshore)Development experience in Java/Scala and pride in producing clean, maintainable codePractical experience in clustering high dimensionality data using a variety of approachesReal world experience in solving business problems by deploying one or more machine learning techniquesExperience creating pipelines to analyze data, extracted features and updated models in production.Independence and self-reliance while being a pro-active team player with excellent communication skills.Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries.Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability.Experience using high-throughput, distributed message queueing systems such as Kafka.Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred).An ability to periodically deploy systems to on-prem environments.Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools.Experience with Teradata SQL, Exadata SQL, T-SQLStrong experience in graph and stream processingExperience in migrating SQL from traditional RDBMS to Spark and BigData technologiesExperience in building language parsers using ANTLR, query optimizers and automatic code generationIn-depth knowledge of database internals and Spark SQL Catalyst engine",10400.0,18700.0,14550.0
"Permanent, Full Time","AVP, Big Data Engineer, Group Consumer Banking and Big Data Analytics Technology, Technology & Operations (WD12947)",DBS BANK LTD.,Posted 20 Mar 2020,Monthly,7 years  exp,Senior Management,Information Technology,"Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.Analyze source data and data flows, working with structured and unstructured data.Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trendsAnalyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely.Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems.Discover data sources, get access to them, import them, clean them up, and make them âmodel-readyâ. You need to be willing and able to do your own ETL.Create and refine features from the underlying data. Youâll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then youâll lather, rinse and repeat.Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders., Experience in big data and machine learningThe ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles.Strong experience in managing a mid and large scale team (offshore and onshore)Development experience in Java/Scala and pride in producing clean, maintainable codePractical experience in clustering high dimensionality data using a variety of approachesReal world experience in solving business problems by deploying one or more machine learning techniquesExperience creating pipelines to analyze data, extracted features and updated models in production.Independence and self-reliance while being a pro-active team player with excellent communication skills.Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries.Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability.Experience using high-throughput, distributed message queueing systems such as Kafka.Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred).An ability to periodically deploy systems to on-prem environments.Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools.Experience with Teradata SQL, Exadata SQL, T-SQLStrong experience in graph and stream processingExperience in migrating SQL from traditional RDBMS to Spark and BigData technologiesExperience in building language parsers using ANTLR, query optimizers and automatic code generationIn-depth knowledge of database internals and Spark SQL Catalyst engine",6500.0,11700.0,9100.0
Full Time,Data Analytics Consultant,INTEGRATED DECISION SYSTEMS CONSULTANCY PTE LTD,Posted 20 Mar 2020,Monthly,,Fresh/entry level,Consulting,,3500.0,4500.0,4000.0
Full Time,Principal / Executive Geospatial Engineer (GeoAI),Singapore Land Authority,Posted 20 Mar 2020,Monthly,2 years  exp,Professional,"Information Technology, Public / Civil Service","Explore existing and emerging machine learning technologies for geospatial applications.Conceptualise and prototype innovative solutions for intelligent 2D/3D feature extraction.System design and development for geospatial Artificial Intelligence (AI) applications.Liaise closely with business team for stakeholder engagement and with industry/researchpartners for collaboration., Qualification in the areas of Computer Science, Software Engineering, Geospatial Science/Technology or equivalent.3 years of industry experience with proven problem-solving skills in computer vision, image/pattern recognition, machine learning.Familiar with machine learning frameworks (e.g., TensorFlow) and OpenCV, and programming languages Python, R, Spark, Java, C++.Good in application development and data pipelines (e.g., ETL process).Strong communication and interpersonal skills, problems-solving, and good team player.",2800.0,5600.0,4200.0
Contract,Senior Analyst - Data Analytics Compliance Strategy & Insights Division,Inland Revenue Authority of Singapore,Posted 20 Mar 2020,Monthly,,Senior Executive,Public / Civil Service,,3100.0,8000.0,5550.0
Full Time,Research Fellow (Computer Science / Computer Engineering),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 20 Mar 2020,Monthly,4 years  exp,Professional,Sciences / Laboratory / R&D,"Develop/ improve on existing machine/deep learning algorithms for energy data analyticsAssist researchers/industrial partners in energy domain in visualization and trend analysis of data, PhD Degree in Computer Science/Computer Engineering or related disciplinesResearch experience in machine learning and data analytics (including undergraduate and graduate (if applicable) study)Excellent analytical, software and programming skills in e.g. C/C++, Python, Java, Matlab etcMinimum 4 years of relevant working experience and/or relevant research experience (including undergraduate and graduate (if applicable) study)Knowledge of time series analysis and abnormal detection is advantageousKnowledge of image analysis is advantageousExperience to publish in top conferences and journals is preferred",4000.0,6000.0,5000.0
Full Time,Software Engineer (CSS  /  Python  /  JAVAScript  /  HTML  /   REST APIs),RECRUIT EXPERT PTE. LTD.,Posted 20 Mar 2020,Monthly,4 years  exp,Senior Executive,Information Technology,"Frontend and Backend development of GUIs for displaying graphs and results from our Scanner technologies.Ability to work on various programming platforms to develop interfaces based on use-cases.Work closely with Cloud Engineers to map and realize requirements regarding the deployment of GUIs over Cloud as web applications.Co-ordinating with Data Scientists and System Integrators to develop REST APIs for trained Machine Learning models and allow the integration of productionized models into the GUIs.Make Sure that the established GUI has low latency and robust client-server communication.Design the GUIs to be client-friendly by understanding the clientâs point of view., A Bachelorâs / Masters degree in Computer Science or Information Engineering & possess correlated familiarity.Need excellent understanding of computer science, data structures, algorithms.Knowledge with an OOP language like Python, Java or C++.Passion to code and discover new thingsUnderstanding in working on Django framework.Expertise of CSS / Python / JAVAScript / HTML /  REST APIs and version control using GitHub.Knowledge in developing user-friendly UIs.Experience of the software development life-cycle and basic familiarity with DevOps.Experience with AWS services for data storage and retrieval, and basic SQL.",4000.0,8000.0,6000.0
Full Time,Software Engineer,BASIS TECHNOLOGIES PTE. LTD.,Posted 20 Mar 2020,Monthly,1 year  exp,Fresh/entry level,"Engineering, Information Technology","2+ years full stack or back-end software engineering experience, building scalable infrastructureExpertise with machine learning and data infrastructure technologies and tools (e.g. Spark, TensorFlow, Airflow)Experience with ETL and implementing efficient data pipelines (SQL, Hadoop/Hive, Vertica)Computer Science, or equivalent Engineering degreeStrong bias to action, creative problem solving mindset, and proactive communication",5000.0,10000.0,7500.0
"Contract, Full Time","Scientist (Visual Intelligence  /  Spatial Computing), I2R",A*STAR RESEARCH ENTITIES,Posted 20 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"PhD in Computer Science, Computer Engineering, Electronic Engineering or related fieldsGood programming skills in C/C++, Python and/or MATLABFamiliar with OpenCV and/or other computer vision open source librariesGood interpersonal, presentation and communication skills",4500.0,9000.0,6750.0
Contract,RPA Developer (12 months contract),KELLY SERVICES (SINGAPORE) PTE. LTD.,Posted 20 Mar 2020,Monthly,4 years  exp,Professional,Information Technology,"Be responsible to code & configure process automation components of a RPA solution in collaborationGuarantee the quality of the production according to Paris Central RPA team rulesRaise alerts to management if needed through the life of the projectUnderstand given process nature, then prepare process design documents (PDD), also propose and write technical design document (TDD), Overall 6 years of experience is required in Information technology4 years of extensive experience in RPA Development using RPA ToolsStrong experience in UI Path tool experienceMinimum 4 years programming experience (Preferably Vb.Net/C#)Experience in any database with SQL querying skillsGood understanding of ICR / OCR, AI, machine learning and NLPExperience in Windows / Linux scripting languagesKnowledge on other RPA tools such as Blue Prismand Automation Anywhere",4500.0,6000.0,5250.0
"Permanent, Full Time",Data Analyst in Singapore - JOB_001448,GECO ASIA PTE. LTD.,Posted 20 Mar 2020,Monthly,4 years  exp,Professional,Information Technology,,4000.0,4300.0,4150.0
"Contract, Full Time",Research Associate (Science / Engineering / Mathematics),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 20 Mar 2020,Monthly,,Non-executive,"Engineering, Sciences / Laboratory / R&D","Support a team of Research Fellow(s) and Associates to research, develop, integrate, demonstrate, and deliver Image/Vision AI capabilities at the systems levelInterface with Rolls-Royce business and technical stakeholders to align R&D outcomes with industrial requirementsActively identify gaps in existing methods / techniques / proposals against requirements, propose improvements, and drive implementationsLead creation of new IP (Papers, Invention Disclosures, Patents)Active participation with NTU Professors and Rolls-Royce leaders in mapping out technical and research strategies, Masterâs degree (preferably in the final stage of Ph.D) in Science, Engineering or Mathematics discipline, with an interest or prior experience in one or more of the following areas: Computer Vision, Image/Video Analytics and Processing, Machine Learning, AI, VisualizationEvidence of prior research experience through publicationsNumerical/Scientific computing using PythonExcellent rapid implementation / prototyping of research ideasExcellent scientific communication, presentation, writing skills",3500.0,5000.0,4250.0
"Contract, Full Time","Senior /  Research Engineer (Visual Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 19 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Study existing and novel methods for medical image processing and analysis.Adopt deep learning / machine learning based method for x-ray / US / CT / MRI image understandingDeep learning / machine learning based method for artifact removalDevelop and test novel machine learning methods for imaging and image analysis, Master or Bachelor degree in computer and/ or engineeringProficient in Java, Python, C/C++ for system development in Linux or WindowsExperience in image processing and / or deep learning technologies is preferred",3900.0,7800.0,5850.0
"Contract, Full Time","Senior /  Research Engineer (Visual Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 19 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Study existing and novel methods for medical image processing and analysis.Adopt deep learning / machine learning based method for x-ray / US / CT / MRI image understandingDeep learning / machine learning based method for artifact removalDevelop and test novel machine learning methods for imaging and image analysis, Master or Bachelor degree in computer and/ or engineeringProficient in Java, Python, C/C++ for system development in Linux or WindowsExperience in image processing and / or deep learning technologies is preferred",3000.0,5500.0,4250.0
"Contract, Full Time","Scientist (Visual Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 19 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Novel methods for medical image processing and image registrationDeep learning / machine learning based method for 2D/3D segmentationDeep learning / machine learning based method for registrationImage based surgical planning, PhD in Computer science/ Engineering, Biomedical Engineering, or Electric Engineering.Working experience in medical image applications such as image segmentation, registration, machine learning and deep learning is preferredInnovative for IP generation and to publish at top-tier medical imaging journals and conferences",4500.0,9000.0,6750.0
"Permanent, Full Time","ED, Head of Consumer Banking Branch & Self Service Banking Tech, Group Consumer Banking and Big Data Analytics Technology, Technology and Operations (WD13017)",DBS BANK LTD.,Posted 19 Mar 2020,Monthly,15 years  exp,Senior Management,"Banking and Finance, Information Technology","Partner with the Head of Consumer Banking Branches & Self Service Banking to drive the strategy, architecture and delivery of the platformManage the technology teams (100+ people based in Singapore and Hyderabad) responsible for developing and supporting inhouse or vendor solutionsDrive technical vision and vision, technology stack selection and R&D of emerging technologies as it relates to branch and self service bankingStrong technical competence including prior experience in developing mission critical applications from scratch Drive the technology architecture transformation to support the evolution towards digital and intelligent bank. This includes green field buildout of mission critical applications using modern technology patterns and practicesBe a trusted advisor to the business to identify opportunities for technology leverage in business developmentChange champion to drive culture, mindset and skillset transformation in technology; Drive the reskilling of the incumbents and recruitment of modern skills resources as neededManage team of technology resources comprising project managers, business analysts, architects, and developers to deliver related technology build-outManage the service availability of technology platforms to meet required service level agreementsDrive continuous improvements in the reliability, availability and performance for all technology platforms and ensuring superior client experienceEnsure that applications are architected with supportability, availability, security, cost effectiveness and good client experience in mindManage the budget and financials for all technology deliveriesPartner with internal or external technology solution providers to provide estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration effortsSurvey market landscape for solution/application insights, direction, vendors and methodsManage software vendor relationship as necessary, At least 15+ years of relevant application development experience of mission critical systems from scratchBachelorâs Degree in Computer Science or Electrical EngineeringSignificant and solid software engineering experience using Agile/Lean methodology, Test Driven Development and familiarity with distributed computing, cloud native architecture patterns, containers, machine learning/big data, native capabilities of any public clouds (Amazon Web Services, Microsoft Azure or Google Cloud Platform)Experience in leveraging continuous integration and robust build/test automation, with a preference for cross platform stacks and containerization (Git, Maven, Jenkins, Sonar, Docker, Cloud Foundry, etc.)Create mission critical applications from scratch and building up new development team for a brand-new missionDriven major changes in technology architecture and technology team cultureA technologistâs technologist - able to lead high performance technology teams by exampleExperience in the financial industry is NOT required",24000.0,35000.0,29500.0
Full Time,Data Analyst,SIEMENS HEALTHCARE PTE. LTD.,Posted 19 Mar 2020,Monthly,2 years  exp,Professional,Information Technology,"You work with our research partners on various machine learning based projects for healthcare applications on the analysis (collection and analysis) ofHospital workflow related predictive models or software to improve patient management, patient data, treatment methods and clinical outcomes.Develop software for these applications that can be deployed by our partners.You support AI projects, which includes collection of patient case, development of relevant tools to facilitate such activities and evaluation of prototypes.You will conduct data exploration: identify relevant data sets, new relations among data sets, and integrate such data in analysisYou will develop and configure marketable analytical solutions such as dashboards and data visualizations (product grade quality).You will define and provide requirements to IT infrastructureYou will collaborate with Enterprise IT, service and product business units to maintain analytical solutionsYou will implement and manage big data analytics projects and present results to stakeholders inside and outside the company, Hospital workflow related predictive models or software to improve patient management, patient data, treatment methods and clinical outcomes.Develop software for these applications that can be deployed by our partners., You hold a Bachelor or Master of Science in computer science, engineering, statistics or applied mathematicsYou have good knowledge of various statistical modelsYou have knowledge of neural networks and machine learningYou have knowledge of computer and programming skills (C/C++, python, R, etc.), You are self- driven with strong multi-tasking skills and thrives on challengesYou have high accuracy and strong attention to detail and a strong analytical mindYou have good organizational skills. Ability to work and collaborate with different team across the companyYou have excellent (spoken and written) communication skillsYou have good interpersonal skillsYou have interest in a career in healthcare data analytics and medical imaging",3500.0,4500.0,4000.0
Permanent,Software engineer,COMPONENT TECHNOLOGY PTE LTD,Posted 19 Mar 2020,Monthly,3 years  exp,Executive,Others,"Good programming skills and style, esp. in object        oriented programming, preferred C/C++ programming for WindowsStrong analytical, troubleshooting and problem solving        skills.",3800.0,6000.0,4900.0
"Contract, Full Time",Principal Scientist / Senior Scientist (ARTC),A*STAR RESEARCH ENTITIES,Posted 19 Mar 2020,Monthly,15 years  exp,Professional,Sciences / Laboratory / R&D,,9000.0,18000.0,13500.0
Full Time,Researcher(Data Scientist),HEXAMATICS SINGAPORE PTE. LTD.,Posted 19 Mar 2020,Monthly,2 years  exp,Executive,Information Technology,,3000.0,7000.0,5000.0
